"","X","zpid","zipcode","latitude","longitude","propertyTaxRate","hasAssociation","age","latestPrice","numPriceChanges","lotSizeSqFt","livingAreaSqFt","avgSchoolRating","numOfBathrooms","numOfBedrooms"
"1",17,116080992,78717,30.4864082336426,-97.7947235107422,2.21,1,8,687850,13,10672,4564,7.66666666666667,6,5
"2",18,88013985,78717,30.4943752288818,-97.796516418457,2.21,1,15,409000,4,9060,3233,8.33333333333333,4,5
"3",19,70344594,78724,30.2557067871094,-97.5769577026367,1.98,0,16,199000,3,7448,1511,2.66666666666667,2,3
"4",20,185217484,78717,30.4956378936768,-97.7978744506836,2.21,1,14,4e+05,2,7666,2228,8.33333333333333,2,3
"5",22,116080981,78717,30.4887752532959,-97.7948989868164,2.21,1,9,549900,2,8494,3494,7.66666666666667,5,4
"6",24,29462564,78725,30.233154296875,-97.5873184204102,1.98,0,23,240000,2,5183,1534,3,3,3
"7",25,70355992,78725,30.2380657196045,-97.5780181884766,1.98,1,9,249900,1,7405,1738,3,2,3
"8",26,89659978,78717,30.4921894073486,-97.793083190918,2.21,1,12,4e+05,2,12196.8,2630,8.33333333333333,3,5
"9",27,70355990,78725,30.2382373809814,-97.5783309936523,1.98,1,10,2e+05,1,8145,1652,3,2,3
"10",28,70333917,78726,30.426456451416,-97.8592910766602,1.98,1,18,875000,2,30056.4,3402,7,4,4
"11",29,29471292,78747,30.103401184082,-97.716911315918,1.98,0,52,164995,4,102366,2350,3.33333333333333,2,3
"12",30,241932966,78744,30.1761455535889,-97.6981430053711,1.98,1,6,287500,2,6141,1634,3.66666666666667,2,3
"13",31,116080975,78717,30.4889965057373,-97.7937927246094,2.21,1,9,650000,1,8363,3047,7.66666666666667,4,4
"14",32,145656987,78725,30.2417678833008,-97.5790557861328,1.98,1,7,196000,1,5532,1399,3,2,3
"15",34,70333915,78726,30.4259643554688,-97.8584060668945,1.98,1,17,830000,5,19166.4,3573,7,5,4
"16",35,29462467,78725,30.2315845489502,-97.5912628173828,1.98,1,22,219990,1,6229,2035,3,3,3
"17",36,89548387,78725,30.2150993347168,-97.6364364624023,1.98,1,13,195000,1,6751,1304,3,2,3
"18",38,241932964,78744,30.1754455566406,-97.6981582641602,1.98,1,6,309999,1,7100,1907,3.66666666666667,3,3
"19",39,29376494,78726,30.4428997039795,-97.8246459960938,1.98,1,34,427000,5,10890,2484,8,3,4
"20",40,69808963,78725,30.2261028289795,-97.5905227661133,1.98,1,16,205000,2,4399,2088,3,3,4
"21",41,121656950,78747,30.1183757781982,-97.7049026489258,1.98,0,9,3e+05,4,43560,2100,3.66666666666667,3,4
"22",42,185217474,78717,30.4941444396973,-97.7975311279297,2.21,1,14,344600,3,6786,2134,8.33333333333333,3,3
"23",44,145657963,78744,30.1614799499512,-97.7212524414062,1.98,1,7,399900,1,8537,2629,3.66666666666667,3,3
"24",46,89548844,78725,30.2131175994873,-97.6372833251953,1.98,1,13,186500,1,7797,1420,3,2,3
"25",47,125901465,78725,30.2382354736328,-97.580436706543,1.98,1,7,219000,1,4617,1267,3,2,3
"26",48,63228462,78725,30.2292938232422,-97.5900726318359,1.98,1,18,179900,1,5924,1194,3,2,3
"27",49,96639474,78729,30.4632568359375,-97.7858047485352,2.21,1,11,405000,1,5619,2142,6,2,3
"28",50,80094409,78732,30.4186000823975,-97.8905715942383,1.98,1,16,2950000,4,68389.2,9591,7,7,5
"29",51,64431038,78747,30.1158313751221,-97.7160720825195,1.98,0,29,565000,1,1001880,2169,3.33333333333333,3,3
"30",52,89547842,78725,30.2150192260742,-97.6380462646484,1.98,1,8,194098,1,5445,1296,3,2,3
"31",53,251030464,78724,30.2593727111816,-97.5867462158203,1.98,1,4,255700,2,6098,2570,2.66666666666667,3,4
"32",54,29376491,78726,30.4423866271973,-97.8249969482422,1.98,1,33,495000,1,9147,3140,8,3,5
"33",55,241932962,78744,30.1761322021484,-97.6977310180664,1.98,1,6,325000,4,6141,2068,3.66666666666667,3,4
"34",56,64729016,78719,30.1030197143555,-97.6912994384766,1.98,0,40,250000,1,64468.8,2736,3.33333333333333,2,4
"35",57,70355962,78725,30.2389507293701,-97.5803298950195,1.98,1,16,198500,4,5749,1807,3,2,4
"36",58,29376490,78726,30.4422283172607,-97.8251113891602,1.98,1,32,485000,1,8624,2956,8,3,5
"37",60,250825472,78717,30.4920291900635,-97.7991790771484,2.21,1,6,440000,1,5536,2595,8.33333333333333,3,5
"38",61,89550834,78725,30.2129650115967,-97.6372680664062,1.98,1,12,225000,2,9626,1420,3,2,3
"39",62,64674953,78725,30.2400455474854,-97.5873565673828,1.98,1,19,207900,4,5314,1929,3,2,3
"40",64,29461422,78725,30.2372131347656,-97.5835494995117,1.98,1,26,2e+05,1,6969,1592,3,3,3
"41",65,116080970,78717,30.4886169433594,-97.7928085327148,2.21,1,6,675000,2,12632.4,3837,7.66666666666667,5,5
"42",66,70333905,78726,30.4246311187744,-97.8576889038086,1.98,1,11,975000,1,58806,3450,7,4,4
"43",67,29557482,78729,30.4529762268066,-97.7869491577148,2.21,0,46,259000,2,16552.8,1239,5.33333333333333,2,3
"44",68,241932948,78744,30.1765880584717,-97.697380065918,1.98,1,6,275000,1,5488,1449,3.66666666666667,2,3
"45",69,29461406,78725,30.2369918823242,-97.585334777832,1.98,1,25,199999,4,5227,1335,3,2,3
"46",70,2081704483,78725,30.2200584411621,-97.6346054077148,1.98,1,2,268729,5,4800,1514,3,2,3
"47",71,116080962,78717,30.4880485534668,-97.7940139770508,2.21,1,9,625000,1,15681.6,3111,7.66666666666667,3,4
"48",72,29376480,78726,30.4431171417236,-97.8240737915039,1.98,1,33,435000,7,8973,3113,8,3,4
"49",73,241932946,78744,30.1762065887451,-97.696533203125,1.98,1,6,285000,2,5662,1973,3.66666666666667,3,3
"50",75,241932900,78725,30.2367706298828,-97.5817565917969,1.98,1,6,215000,1,5749,1370,3,2,3
"51",76,29370900,78726,30.4230632781982,-97.8630676269531,1.98,1,22,519500,3,7666,3055,7,4,4
"52",78,29372980,78726,30.432731628418,-97.8270034790039,1.98,1,27,463700,1,9539,3115,8,3,4
"53",79,29459947,78725,30.2431354522705,-97.5855255126953,1.98,1,35,209900,1,5558,1419,3,2,3
"54",80,241932936,78744,30.1784954071045,-97.696662902832,1.98,1,6,375000,2,6969,2682,3.66666666666667,5,7
"55",81,89550803,78725,30.2156448364258,-97.6355514526367,1.98,1,8,229900,1,4573,1936,3,3,4
"56",82,29370898,78726,30.42333984375,-97.8644104003906,1.98,1,21,549900,1,10105,3794,7,4,4
"57",83,29358990,78750,30.3759994506836,-97.7984848022461,1.98,1,39,690000,3,10367,2967,7,3,4
"58",84,116080957,78717,30.4883518218994,-97.7944564819336,2.21,1,8,584900,1,7501,3787,7.66666666666667,4,5
"59",86,29375979,78750,30.4432811737061,-97.7982788085938,1.98,1,45,599800,2,11325.6,2753,8.66666666666667,3,5
"60",87,241932935,78744,30.1782112121582,-97.6968231201172,1.98,1,6,325000,1,6185,2068,3.66666666666667,3,4
"61",88,80115957,78717,30.5004444122314,-97.7909088134766,2.21,1,16,350000,2,5140,1791,8.33333333333333,3,3
"62",89,29370894,78726,30.4236278533936,-97.8633499145508,1.98,1,21,574900,1,11325.6,3338,7,4,4
"63",91,29375978,78750,30.4436836242676,-97.7979354858398,1.98,1,45,699900,3,27442.8,2997,8.66666666666667,3,4
"64",92,145654939,78725,30.2413921356201,-97.5765838623047,1.98,1,5,205000,2,7274,1225,3,2,3
"65",93,29370884,78726,30.4257164001465,-97.8606414794922,1.98,1,20,425000,3,9670,2864,7,3,5
"66",94,29351485,78731,30.3537712097168,-97.7936248779297,1.98,1,38,425000,1,3920,1573,7,2,3
"67",95,29372475,78750,30.4285068511963,-97.7942504882812,1.98,1,34,684000,3,10454,2656,9,3,4
"68",96,185218453,78717,30.4936752319336,-97.7860107421875,2.21,1,20,359965,1,5140,1975,8.33333333333333,3,4
"69",97,29392994,78725,30.2816600799561,-97.661735534668,1.98,0,51,120000,7,9452,1745,3.66666666666667,2,4
"70",99,2088245915,78744,30.161039352417,-97.715950012207,1.98,1,5,388990,3,6969,2502,3.66666666666667,3,4
"71",100,29373974,78750,30.4355907440186,-97.785774230957,1.98,1,50,435000,2,16988.4,2313,8.66666666666667,2,4
"72",102,241932874,78725,30.2364826202392,-97.5824127197266,1.98,1,6,218800,2,5706,1480,3,2,3
"73",104,29376473,78726,30.4424533843994,-97.8227691650391,1.98,1,33,368500,2,7230,2267,8,2,4
"74",105,305430992,78724,30.29319190979,-97.6419677734375,1.98,1,4,454500,1,5749,2508,3.66666666666667,3,3
"75",107,29347484,78730,30.3563251495361,-97.8372344970703,1.98,1,26,799000,5,142441.2,4491,7,7,5
"76",108,69811366,78725,30.2332057952881,-97.5913543701172,1.98,1,12,199000,2,4007,1268,3,2,3
"77",109,116080950,78717,30.4877796173096,-97.7927703857422,2.21,1,8,622800,1,7187,2903,7.66666666666667,3,3
"78",110,29370873,78726,30.4237022399902,-97.8621444702148,1.98,1,22,429000,9,11325.6,3033,7,4,4
"79",111,83814991,78724,30.2835445404053,-97.6262130737305,1.98,1,13,259900,1,12196.8,2573,3.66666666666667,3,3
"80",112,29375973,78750,30.4385547637939,-97.7947235107422,1.98,1,45,629000,3,13503.6,2340,8.66666666666667,3,4
"81",113,116080945,78717,30.4875736236572,-97.7937240600586,2.21,1,8,525000,3,7710,3187,7.66666666666667,3,4
"82",114,29370860,78726,30.4244270324707,-97.862419128418,1.98,1,20,345000,6,7492,3675,7,4,5
"83",115,249890717,78725,30.2190399169922,-97.6354522705078,1.98,1,5,255000,1,5000,1641,3,2,3
"84",116,2082177903,78744,30.1750736236572,-97.6934585571289,1.98,1,3,282226,1,5532,1413,3.66666666666667,2,3
"85",117,63835425,78724,30.2522277832031,-97.5805206298828,1.98,1,18,180000,3,6229,1326,2.66666666666667,2,3
"86",118,70341361,78725,30.2275581359863,-97.5895919799805,1.98,1,17,184900,2,4312,1203,3,2,3
"87",119,29358983,78750,30.3754653930664,-97.7973251342773,1.98,1,40,750000,2,8319,2922,7,4,3
"88",120,29374973,78726,30.4350852966309,-97.8276443481445,1.98,1,26,475000,1,7405,2428,8,3,3
"89",121,89550707,78725,30.213565826416,-97.6374130249023,1.98,1,12,219000,1,10000,1256,3,2,3
"90",123,29459909,78725,30.2437896728516,-97.5844955444336,1.98,1,34,229999,1,7274,1712,3,3,3
"91",124,29375972,78750,30.438814163208,-97.7947387695312,1.98,1,47,415000,1,13503.6,2234,8.66666666666667,3,3
"92",125,29396983,78724,30.2913475036621,-97.6452255249023,1.98,1,42,175000,2,4835,1315,3.66666666666667,2,3
"93",126,58299481,78750,30.3783779144287,-97.7857131958008,1.98,0,51,398900,4,20037.6,2089,7,2,3
"94",127,145656393,78744,30.1617393493652,-97.7194976806641,1.98,1,6,389900,4,9626,3319,3.66666666666667,3,5
"95",128,116080940,78717,30.4878578186035,-97.7947006225586,2.21,1,9,536170,9,7230,3415,7.66666666666667,4,5
"96",130,29459907,78725,30.2439308166504,-97.584846496582,1.98,1,35,179900,1,5880,1587,3,2,4
